#     FILENAME=Skynet_61090_GLONG-49_145819_96139.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG-49_145819_96139
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG-49_145819
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG-49_145819/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG-49
#     OBSERVER=davy_ball_74442
#     DATE_OBS=2026-02-19T09:42:09.000
#        OBSID=145819
#      SCANNUM=96139
#          MJD=61090.4042708
#          UTC=34929
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=34.90
#     EXPOSURE=28.99
#        FOCUS=37.071
#       RA,DEC=19:21:31.78, 14:15:37.94
#      RA(deg)=290.34111
#     DEC(deg)=14.26041
#   WIDTH(deg)=0.0102x0.0012
#    AZIM(deg)=86.8783
#    ELEV(deg)=19.9642
#     COORDREF=LNG_LAT
#         HREF=49.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=6.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.3, 0.39] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=58 
#      BOXTEMP=6 
#         TSYS=XX1:64.62, YY1:88.63
#         TSYS=XX2:56.06, YY2:92.54
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      31.1539      39.8931    1413.29430      27.7268      53.7377
   1428.90404      31.2494      39.9959    1413.27904      27.8329      54.1472
   1428.88878      31.4561      40.2117    1413.26378      27.8368      54.2286
   1428.87353      31.6977      40.3489    1413.24853      27.8723      54.4293
   1428.85827      31.8472      40.4994    1413.23327      28.0354      54.6977
   1428.84301      32.0266      40.7270    1413.21801      28.1205      54.9277
   1428.82775      32.1965      40.8231    1413.20275      28.1866      55.2162
   1428.81249      32.3135      41.0523    1413.18749      28.2127      55.4452
   1428.79723      32.5021      41.2555    1413.17223      28.2907      55.8321
   1428.78197      32.7025      41.2080    1413.15697      28.4313      55.9678
   1428.76671      32.8896      41.5123    1413.14171      28.4908      56.0626
   1428.75146      33.0475      41.7454    1413.12646      28.5925      56.3460
   1428.73620      33.3734      41.9605    1413.11120      28.6998      56.7607
   1428.72094      33.4642      42.0163    1413.09594      28.8804      56.9138
   1428.70568      33.6433      42.3057    1413.08068      28.9508      57.4386
   1428.69042      33.8951      42.5221    1413.06542      28.9139      57.6881
   1428.67516      33.9536      42.6383    1413.05016      29.0837      57.7697
   1428.65990      34.2714      42.9483    1413.03490      29.2833      58.2327
   1428.64464      34.6098      43.1167    1413.01964      29.3332      58.4534
   1428.62938      34.6130      43.3402    1413.00438      29.5126      58.8221
   1428.61413      34.8893      43.6191    1412.98913      29.5675      59.2621
   1428.59887      35.0243      43.8608    1412.97387      29.6732      59.4368
   1428.58361      35.2882      43.9530    1412.95861      29.7941      59.8938
   1428.56835      35.4322      44.1987    1412.94335      29.9315      60.2104
   1428.55309      35.7265      44.4338    1412.92809      30.0978      60.4316
   1428.53783      35.8960      44.6417    1412.91283      30.2180      60.6939
   1428.52257      36.1232      44.8579    1412.89757      30.4158      61.2634
   1428.50731      36.3872      45.0743    1412.88231      30.3964      61.6200
   1428.49206      36.4800      45.3450    1412.86706      30.6535      61.9108
   1428.47680      36.8186      45.5345    1412.85180      30.7469      62.1256
   1428.46154      36.9218      45.7890    1412.83654      30.9834      62.3781
   1428.44628      37.1313      45.9861    1412.82128      30.9617      62.7701
   1428.43102      37.4596      46.2672    1412.80602      31.1774      63.2397
   1428.41576      37.5239      46.4943    1412.79076      31.2972      63.5512
   1428.40050      37.9401      46.7327    1412.77550      31.4927      63.8476
   1428.38524      38.1130      46.9292    1412.76024      31.6028      64.3259
   1428.36999      38.2559      47.2329    1412.74499      31.7866      64.6860
   1428.35473      38.5032      47.3797    1412.72973      31.8253      65.1083
   1428.33947      38.9191      47.8354    1412.71447      32.0990      65.3631
   1428.32421      39.0143      48.0100    1412.69921      32.1917      65.9369
   1428.30895      39.1522      48.2260    1412.68395      32.3390      66.3118
   1428.29369      39.5125      48.3783    1412.66869      32.5128      66.5869
   1428.27843      39.6739      48.6758    1412.65343      32.6405      66.9164
   1428.26317      39.7278      48.9158    1412.63817      32.8803      67.4129
   1428.24792      40.0193      49.2323    1412.62292      33.0286      67.8969
   1428.23266      40.3238      49.6218    1412.60766      33.1809      68.1789
   1428.21740      40.4594      49.7546    1412.59240      33.1596      68.5635
   1428.20214      40.5309      49.9906    1412.57714      33.3909      68.7322
   1428.18688      40.8999      50.2625    1412.56188      33.6052      69.4109
   1428.17162      41.1137      50.5601    1412.54662      33.7687      69.9034
   1428.15636      41.5239      50.6714    1412.53136      33.9493      70.1754
   1428.14110      41.6381      51.0581    1412.51610      34.1199      70.4034
   1428.12584      41.7681      51.4124    1412.50084      34.3609      71.0300
   1428.11059      42.0192      51.5170    1412.48559      34.5088      71.4021
   1428.09533      42.3424      51.8878    1412.47033      34.5841      71.7896
   1428.08007      42.4973      52.1603    1412.45507      34.7304      71.9507
   1428.06481      42.7352      52.4118    1412.43981      34.8816      72.5013
   1428.04955      42.8606      52.6272    1412.42455      35.1135      73.0076
   1428.03429      43.1511      52.9713    1412.40929      35.2655      73.5426
   1428.01903      43.3245      53.1148    1412.39403      35.4897      73.8465
   1428.00377      43.5553      53.3393    1412.37877      35.6015      74.3722
   1427.98852      43.8450      53.7001    1412.36352      35.7635      74.5807
   1427.97326      44.0133      53.7768    1412.34826      35.9762      75.1573
   1427.95800      44.2597      54.2396    1412.33300      36.1730      75.4630
   1427.94274      44.4042      54.5551    1412.31774      36.3761      75.6306
   1427.92748      44.5917      54.6439    1412.30248      36.3951      76.3427
   1427.91222      44.9031      54.9343    1412.28722      36.6632      76.7599
   1427.89696      45.0756      55.2637    1412.27196      36.7496      77.1206
   1427.88170      45.2399      55.4225    1412.25670      37.0183      77.4607
   1427.86645      45.4401      55.7207    1412.24145      37.2102      77.7242
   1427.85119      45.6499      55.9165    1412.22619      37.3660      78.4456
   1427.83593      45.9309      56.2868    1412.21093      37.6013      78.7298
   1427.82067      46.0254      56.4582    1412.19567      37.7095      78.8830
   1427.80541      46.2100      56.6792    1412.18041      37.9690      79.4862
   1427.79015      46.5378      57.1513    1412.16515      38.1313      79.9342
   1427.77489      46.5221      57.3385    1412.14989      38.2867      80.2702
   1427.75963      46.6850      57.5757    1412.13463      38.4507      80.8244
   1427.74437      47.0423      58.0225    1412.11937      38.5019      81.2333
   1427.72912      47.2077      58.2227    1412.10412      38.8064      81.5700
   1427.71386      47.3482      58.4590    1412.08886      38.9883      81.8854
   1427.69860      47.6526      58.6294    1412.07360      39.2078      82.4284
   1427.68334      47.7690      58.9136    1412.05834      39.2554      82.6377
   1427.66808      47.9368      59.0943    1412.04308      39.4190      83.0821
   1427.65282      48.2200      59.3498    1412.02782      39.7672      83.4796
   1427.63756      48.3385      59.6947    1412.01256      39.9088      83.9036
   1427.62230      48.5120      59.8922    1411.99730      40.0704      84.1891
   1427.60705      48.6869      60.0852    1411.98205      40.2614      84.5159
   1427.59179      48.7883      60.3444    1411.96679      40.3403      84.9317
   1427.57653      48.9717      60.5091    1411.95153      40.5170      85.3436
   1427.56127      49.2101      60.9380    1411.93627      40.8064      85.7645
   1427.54601      49.5499      61.2186    1411.92101      40.9718      86.1785
   1427.53075      49.5351      61.2829    1411.90575      41.2163      86.5675
   1427.51549      49.5833      61.7052    1411.89049      41.3639      86.9738
   1427.50023      49.9304      61.7188    1411.87523      41.6120      87.2574
   1427.48498      50.2042      62.0111    1411.85998      41.6228      87.5417
   1427.46972      50.1405      62.3576    1411.84472      41.8426      87.8135
   1427.45446      50.3124      62.6772    1411.82946      42.1492      88.3825
   1427.43920      50.5644      62.6946    1411.81420      42.1858      88.7942
   1427.42394      50.6321      63.1248    1411.79894      42.3098      89.0083
   1427.40868      50.8577      63.2362    1411.78368      42.6273      89.4431
   1427.39342      50.8701      63.3832    1411.76842      42.7084      89.6628
   1427.37816      51.2441      63.5395    1411.75316      42.9908      90.1102
   1427.36291      51.3500      63.9080    1411.73791      43.1540      90.4815
   1427.34765      51.4679      64.2582    1411.72265      43.1915      90.5630
   1427.33239      51.5857      64.4286    1411.70739      43.4717      91.1319
   1427.31713      51.5693      64.3807    1411.69213      43.6726      91.7243
   1427.30187      51.8503      64.7899    1411.67687      43.8199      91.9286
   1427.28661      52.0191      65.1739    1411.66161      43.9607      91.8407
   1427.27135      51.9577      65.2781    1411.64635      44.1370      92.3191
   1427.25609      52.1779      65.5111    1411.63109      44.3784      92.8679
   1427.24083      52.4252      65.6585    1411.61583      44.4794      92.8207
   1427.22558      52.5546      65.8845    1411.60058      44.7947      93.4486
   1427.21032      52.5354      66.0857    1411.58532      44.7385      93.8208
   1427.19506      52.6454      66.4499    1411.57006      44.9760      93.9369
   1427.17980      52.7713      66.6089    1411.55480      45.1974      94.2768
   1427.16454      52.7681      66.8058    1411.53954      45.3920      94.4825
   1427.14928      52.9465      66.8603    1411.52428      45.5288      95.0685
   1427.13402      53.0186      67.0633    1411.50902      45.7899      95.1676
   1427.11876      53.2095      67.4355    1411.49376      45.9599      95.2202
   1427.10351      53.4052      67.6287    1411.47851      46.2448      95.9200
   1427.08825      53.3941      67.8716    1411.46325      46.3374      96.0685
   1427.07299      53.5074      68.1124    1411.44799      46.4151      96.4923
   1427.05773      53.5067      68.2542    1411.43273      46.5889      96.6201
   1427.04247      53.7440      68.5166    1411.41747      46.8033      96.8172
   1427.02721      53.6646      68.5980    1411.40221      46.9299      97.5076
   1427.01195      53.9765      68.7997    1411.38695      47.1649      97.3423
   1426.99669      54.0025      69.0395    1411.37169      47.2746      97.7022
   1426.98144      54.0178      69.3726    1411.35644      47.4580      98.1137
   1426.96618      54.0807      69.2858    1411.34118      47.7523      98.4121
   1426.95092      54.1795      69.5137    1411.32592      47.7883      98.4247
   1426.93566      54.0975      69.9777    1411.31066      47.8722      98.5814
   1426.92040      54.4635      69.9966    1411.29540      48.1070      98.8463
   1426.90514      54.6238      70.3475    1411.28014      48.3256      99.1085
   1426.88988      54.4884      70.2382    1411.26488      48.4848      99.8823
   1426.87462      54.5169      70.4271    1411.24962      48.7745      99.8740
   1426.85937      54.4820      70.7186    1411.23437      48.8932     100.0588
   1426.84411      54.6084      71.0068    1411.21911      49.0276     100.3893
   1426.82885      54.7304      71.1801    1411.20385      49.1111     100.5342
   1426.81359      54.7751      71.3782    1411.18859      49.2505     101.0449
   1426.79833      54.9132      71.5058    1411.17333      49.4577     101.2053
   1426.78307      54.9509      71.7544    1411.15807      49.6328     101.1837
   1426.76781      54.9223      71.6231    1411.14281      49.7750     101.4363
   1426.75255      55.0585      71.8874    1411.12755      49.9129     101.6043
   1426.73729      54.9875      72.1733    1411.11229      50.2019     101.9395
   1426.72204      55.0882      72.2895    1411.09704      50.2164     102.1244
   1426.70678      55.1797      72.3843    1411.08178      50.4892     101.9972
   1426.69152      55.0371      72.8649    1411.06652      50.5719     102.6067
   1426.67626      55.1774      72.8734    1411.05126      50.6561     102.6470
   1426.66100      55.2131      72.8183    1411.03600      50.9681     102.9234
   1426.64574      55.3597      73.0119    1411.02074      51.1347     102.9449
   1426.63048      55.1716      73.2839    1411.00548      51.3615     103.3412
   1426.61522      55.3559      73.4906    1410.99022      51.3987     103.4502
   1426.59997      55.3928      73.4693    1410.97497      51.5613     103.7969
   1426.58471      55.3268      73.7480    1410.95971      51.7786     104.0853
   1426.56945      55.5087      73.9598    1410.94445      51.9161     103.7571
   1426.55419      55.4581      73.8709    1410.92919      52.2285     104.2587
   1426.53893      55.4737      73.9379    1410.91393      52.2782     104.0743
   1426.52367      55.4110      74.3019    1410.89867      52.4918     104.4826
   1426.50841      55.4617      74.5432    1410.88341      52.5411     104.6860
   1426.49315      55.5142      74.5581    1410.86815      52.5791     104.9625
   1426.47790      55.4563      74.7149    1410.85290      52.9352     104.8371
   1426.46264      55.5399      74.9182    1410.83764      53.1292     105.2544
   1426.44738      55.7156      74.8140    1410.82238      53.1951     105.3720
   1426.43212      55.6373      75.2255    1410.80712      53.4251     105.6430
   1426.41686      55.5484      75.6040    1410.79186      53.6271     105.2669
   1426.40160      55.6236      75.7259    1410.77660      53.7451     105.7546
   1426.38634      55.6268      75.8072    1410.76134      53.9132     105.8288
   1426.37108      55.4698      75.8939    1410.74608      54.0216     106.1875
   1426.35583      55.4811      75.9079    1410.73083      54.1253     106.2645
   1426.34057      55.6306      76.1609    1410.71557      54.5764     106.1852
   1426.32531      55.6504      76.2842    1410.70031      54.5501     106.2750
   1426.31005      55.6363      76.5707    1410.68505      54.6258     106.3554
   1426.29479      55.6353      76.6392    1410.66979      54.9657     106.7423
   1426.27953      55.7033      76.6785    1410.65453      55.0625     106.5833
   1426.26427      55.5161      76.6627    1410.63927      55.3336     107.2764
   1426.24901      55.6536      77.0133    1410.62401      55.4863     107.0226
   1426.23375      55.5020      76.9222    1410.60875      55.5351     107.0489
   1426.21850      55.5570      77.0274    1410.59350      55.7110     107.0676
   1426.20324      55.4354      77.5878    1410.57824      55.8302     107.2046
   1426.18798      55.5206      77.3228    1410.56298      55.9998     107.5527
   1426.17272      55.4247      77.4813    1410.54772      56.0771     107.5153
   1426.15746      55.3943      77.7245    1410.53246      56.3817     107.8331
   1426.14220      55.4257      77.9399    1410.51720      56.4676     107.6093
   1426.12694      55.4482      78.0517    1410.50194      56.5712     108.0493
   1426.11168      55.4637      78.1089    1410.48668      56.9006     108.3120
   1426.09643      55.5164      78.3417    1410.47143      57.0834     108.0451
   1426.08117      55.2802      78.3220    1410.45617      57.1329     107.9933
   1426.06591      55.3302      78.5107    1410.44091      57.3513     108.1448
   1426.05065      55.3539      78.8046    1410.42565      57.5134     108.0957
   1426.03539      55.5442      78.9758    1410.41039      57.6537     108.5694
   1426.02013      55.3536      79.0534    1410.39513      57.7351     108.3479
   1426.00487      55.1519      79.0693    1410.37987      57.9386     108.7005
   1425.98961      55.3641      79.2501    1410.36461      58.0599     108.5861
   1425.97436      55.3847      79.2858    1410.34936      58.3311     108.8939
   1425.95910      55.2428      79.4310    1410.33410      58.5488     108.8429
   1425.94384      55.1806      79.6156    1410.31884      58.5509     108.9491
   1425.92858      55.1133      79.8950    1410.30358      58.6636     109.2884
   1425.91332      55.2652      79.8255    1410.28832      58.8110     109.0954
   1425.89806      55.4380      80.0478    1410.27306      59.0596     109.0997
   1425.88280      54.9904      80.0294    1410.25780      59.1944     109.3044
   1425.86754      55.2121      80.1595    1410.24254      59.4029     109.2762
   1425.85229      55.0877      80.4736    1410.22729      59.6088     109.3619
   1425.83703      54.9876      80.6322    1410.21203      59.7839     109.5772
   1425.82177      54.9909      80.5419    1410.19677      59.9182     109.7063
   1425.80651      55.0879      80.6784    1410.18151      60.1048     109.6716
   1425.79125      55.1457      80.7203    1410.16625      60.2614     109.7883
   1425.77599      55.0863      80.7444    1410.15099      60.2958     109.9166
   1425.76073      54.9392      81.0858    1410.13573      60.5313     109.8809
   1425.74547      54.8661      81.0406    1410.12047      60.7383     109.7257
   1425.73021      54.8866      81.5175    1410.10521      60.7794     109.6885
   1425.71496      54.8660      81.4770    1410.08996      61.1476     110.0216
   1425.69970      54.8231      81.5574    1410.07470      61.1808     109.9071
   1425.68444      54.7917      81.7192    1410.05944      61.3998     110.1714
   1425.66918      54.8439      81.7217    1410.04418      61.8277     110.0672
   1425.65392      54.7478      82.0017    1410.02892      61.5699     110.1993
   1425.63866      54.7447      82.2224    1410.01366      61.9516     110.2674
   1425.62340      54.7137      82.1102    1409.99840      62.0430     110.2679
   1425.60814      54.7064      82.6401    1409.98314      62.0798     110.0376
   1425.59289      54.5449      82.6073    1409.96789      62.5250     109.9714
   1425.57763      54.6817      82.8423    1409.95263      62.4161     110.6431
   1425.56237      54.7032      82.6373    1409.93737      62.4705     110.3516
   1425.54711      54.5421      82.9835    1409.92211      62.6755     111.8837
   1425.53185      54.7207      82.6819    1409.90685      63.2012     110.5480
   1425.51659      54.6821      82.9922    1409.89159      63.3024     110.4911
   1425.50133      54.5968      83.4866    1409.87633      63.3952     110.3430
   1425.48607      54.5556      83.4687    1409.86107      63.4482     110.2495
   1425.47082      54.4273      83.4793    1409.84582      63.5351     110.6204
   1425.45556      54.4074      83.6164    1409.83056      63.8509     110.2354
   1425.44030      54.4820      83.5951    1409.81530      64.0301     110.5972
   1425.42504      54.4469      84.0624    1409.80004      64.0389     110.3189
   1425.40978      54.4121      83.8810    1409.78478      64.2239     110.4022
   1425.39452      54.3918      84.0636    1409.76952      64.4792     110.4381
   1425.37926      54.4010      84.3288    1409.75426      64.5872     110.4609
   1425.36400      54.3787      84.1675    1409.73900      64.7729     110.4129
   1425.34875      54.2870      84.4846    1409.72375      64.9794     110.6919
