#     FILENAME=Skynet_61090_GLONG_8_145843_96205.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG_8_145843_96205
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG_8_145843
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG_8_145843/Cyb
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG_8
#     OBSERVER=delima6_74447
#     DATE_OBS=2026-02-19T10:57:06.000
#        OBSID=145843
#      SCANNUM=96205
#          MJD=61090.4563194
#          UTC=39426
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=34.90
#     EXPOSURE=28.72
#        FOCUS=37.071
#       RA,DEC=18:03:45.57, -22:02:03.79
#      RA(deg)=270.89129
#     DEC(deg)=-22.03458
#   WIDTH(deg)=0.0083x0.0009
#    AZIM(deg)=142.6848
#    ELEV(deg)=19.9668
#     COORDREF=LNG_LAT
#         HREF=8.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=6.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.04, 0.42] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=54 
#      BOXTEMP=6 
#         TSYS=XX1:72.78, YY1:91.58
#         TSYS=XX2:62.66, YY2:97.30
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      35.3605      41.5114    1413.29430      31.0179      56.8135
   1428.90404      35.5302      41.6704    1413.27904      31.1817      57.1486
   1428.88878      35.8246      41.7289    1413.26378      31.2189      57.2190
   1428.87353      35.8905      41.9088    1413.24853      31.3534      57.5547
   1428.85827      36.1083      42.0955    1413.23327      31.4095      57.7050
   1428.84301      36.3398      42.2996    1413.21801      31.4923      57.9980
   1428.82775      36.4379      42.2985    1413.20275      31.5652      58.3236
   1428.81249      36.6412      42.5911    1413.18749      31.6605      58.5033
   1428.79723      36.8825      42.8869    1413.17223      31.7267      58.7876
   1428.78197      37.0858      42.9753    1413.15697      31.9709      59.0087
   1428.76671      37.3653      43.1890    1413.14171      31.9974      59.4297
   1428.75146      37.4626      43.4595    1413.12646      32.0336      59.5202
   1428.73620      37.7127      43.5682    1413.11120      32.2337      59.9243
   1428.72094      37.9329      43.7704    1413.09594      32.2714      60.3440
   1428.70568      38.1985      43.9226    1413.08068      32.5726      60.5117
   1428.69042      38.4407      44.2019    1413.06542      32.5336      60.7769
   1428.67516      38.5406      44.3675    1413.05016      32.5856      61.1627
   1428.65990      38.8666      44.6032    1413.03490      32.8139      61.7123
   1428.64464      39.0381      44.5083    1413.01964      32.9495      61.9081
   1428.62938      39.2362      45.0026    1413.00438      33.1404      62.2496
   1428.61413      39.5324      45.1743    1412.98913      33.2837      62.4693
   1428.59887      39.7200      45.5210    1412.97387      33.3789      63.0157
   1428.58361      39.9627      45.5803    1412.95861      33.5253      63.1571
   1428.56835      40.2275      45.6723    1412.94335      33.6404      63.6039
   1428.55309      40.5893      46.0095    1412.92809      33.7773      63.8705
   1428.53783      40.6769      46.4042    1412.91283      33.9797      64.1694
   1428.52257      40.9015      46.3911    1412.89757      34.0667      64.7395
   1428.50731      41.1501      46.7365    1412.88231      34.2578      65.0346
   1428.49206      41.3472      46.8864    1412.86706      34.3679      65.4574
   1428.47680      41.6958      47.1903    1412.85180      34.6340      65.7807
   1428.46154      41.8634      47.5638    1412.83654      34.6087      66.1814
   1428.44628      42.1588      47.7702    1412.82128      34.8183      66.6761
   1428.43102      42.3716      47.9433    1412.80602      35.0140      66.8836
   1428.41576      42.5808      48.2055    1412.79076      35.1067      67.1116
