#     FILENAME=Skynet_61089_GLong_84_145816_96112.A.spect.cal.txt
#     BASENAME=Skynet_61089_GLong_84_145816_96112
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61089_GLong_84_145816
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61089_GLong_84_145816/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLong_84
#     OBSERVER=katerickels_69750
#     DATE_OBS=2026-02-18T22:13:42.000
#        OBSID=145816
#      SCANNUM=96112
#          MJD=61089.9261806
#          UTC=80022
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=40.00
#     EXPOSURE=31.14
#        FOCUS=37.049
#       RA,DEC=20:49:23.18, 43:48:48.18
#      RA(deg)=312.30609
#     DEC(deg)=43.81367
#   WIDTH(deg)=0.0606x0.0030
#    AZIM(deg)=306.5072
#    ELEV(deg)=25.3884
#     COORDREF=LNG_LAT
#         HREF=84.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=4.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.29, 0.49] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=25 
#      BOXTEMP=14 
#         TSYS=XX1:59.49, YY1:83.80
#         TSYS=XX2:51.64, YY2:87.12
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      28.1739      37.7671    1413.29430      25.2867      49.8855
   1428.90404      28.3484      37.9154    1413.27904      25.4137      50.1452
   1428.88878      28.5135      37.9892    1413.26378      25.5190      50.3203
   1428.87353      28.6352      38.1418    1413.24853      25.6125      50.3935
   1428.85827      28.8113      38.2339    1413.23327      25.6802      50.7503
   1428.84301      28.8958      38.5022    1413.21801      25.7412      50.9840
   1428.82775      29.0985      38.6525    1413.20275      25.8891      51.2143
   1428.81249      29.3325      38.8561    1413.18749      25.9652      51.3898
   1428.79723      29.4586      38.8967    1413.17223      26.0866      51.6049
   1428.78197      29.6062      39.1362    1413.15697      26.2023      51.8965
   1428.76671      29.7133      39.3365    1413.14171      26.2542      52.1699
   1428.75146      29.9684      39.4853    1413.12646      26.4119      52.3188
   1428.73620      30.0691      39.6731    1413.11120      26.4717      52.5962
   1428.72094      30.1863      39.8310    1413.09594      26.6033      52.9125
   1428.70568      30.5091      39.9986    1413.08068      26.6920      53.0553
   1428.69042      30.6185      40.1711    1413.06542      26.7290      53.3321
   1428.67516      30.7232      40.5143    1413.05016      26.8631      53.7597
   1428.65990      30.9253      40.5794    1413.03490      26.9925      54.0256
   1428.64464      31.1520      40.7515    1413.01964      27.1510      54.2740
   1428.62938      31.3366      40.9583    1413.00438      27.3613      54.4863
   1428.61413      31.4906      41.1718    1412.98913      27.3784      54.8607
   1428.59887      31.6523      41.4782    1412.97387      27.5227      55.2399
   1428.58361      31.8982      41.5992    1412.95861      27.6320      55.6298
   1428.56835      32.0214      41.8384    1412.94335      27.6881      55.8530
   1428.55309      32.1388      41.9983    1412.92809      27.9701      56.1808
   1428.53783      32.3764      42.1408    1412.91283      28.0158      56.5327
   1428.52257      32.5542      42.3536    1412.89757      28.0932      56.6494
   1428.50731      32.8924      42.6719    1412.88231      28.2444      57.2031
   1428.49206      32.9521      43.0008    1412.86706      28.5277      57.4386
   1428.47680      33.2386      43.1304    1412.85180      28.6288      57.7375
   1428.46154      33.2904      43.3301    1412.83654      28.6621      58.0982
   1428.44628      33.5423      43.5271    1412.82128      28.8293      58.4127
   1428.43102      33.7639      43.7178    1412.80602      29.0091      58.7923
   1428.41576      33.9058      44.0628    1412.79076      29.2239      59.1137
   1428.40050      34.0867      44.2619    1412.77550      29.3405      59.4845
