#     FILENAME=Skynet_61090_GLONG_20_145855_96179.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG_20_145855_96179
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG_20_145855
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG_20_145855/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG_20
#     OBSERVER=delima6_74447
#     DATE_OBS=2026-02-19T10:21:45.000
#        OBSID=145855
#      SCANNUM=96179
#          MJD=61090.4317708
#          UTC=37305
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=35.16
#     EXPOSURE=28.45
#        FOCUS=37.071
#       RA,DEC=18:27:42.03, -11:29:19.17
#      RA(deg)=276.88179
#     DEC(deg)=-11.48868
#   WIDTH(deg)=0.0073x0.0011
#    AZIM(deg)=123.8491
#    ELEV(deg)=20.1580
#     COORDREF=LNG_LAT
#         HREF=20.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=6.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.14, 0.47] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=32 
#      BOXTEMP=6 
#         TSYS=XX1:65.75, YY1:91.61
#         TSYS=XX2:55.41, YY2:94.68
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      30.9345      41.1674    1413.29430      27.1944      55.3521
   1428.90404      31.2125      41.3361    1413.27904      27.3311      55.4018
   1428.88878      31.4256      41.4351    1413.26378      27.4013      55.5585
   1428.87353      31.4834      41.6389    1413.24853      27.4516      55.9323
   1428.85827      31.7479      41.8037    1413.23327      27.5265      56.2085
   1428.84301      31.9468      41.8727    1413.21801      27.6688      56.3726
   1428.82775      32.0544      42.1086    1413.20275      27.6364      56.6660
   1428.81249      32.2038      42.2961    1413.18749      27.7706      56.8804
   1428.79723      32.4691      42.5359    1413.17223      27.9070      57.1725
   1428.78197      32.6294      42.6504    1413.15697      27.9468      57.3947
   1428.76671      32.7947      42.9071    1413.14171      28.0151      57.6691
   1428.75146      32.9240      43.0990    1413.12646      28.2779      57.8438
   1428.73620      33.2174      43.2474    1413.11120      28.2870      58.1602
   1428.72094      33.3859      43.4910    1413.09594      28.4119      58.5714
   1428.70568      33.5384      43.6329    1413.08068      28.4420      58.9379
   1428.69042      33.8652      43.8640    1413.06542      28.5103      59.0773
   1428.67516      33.9388      44.0245    1413.05016      28.6489      59.6060
   1428.65990      34.2425      44.1696    1413.03490      28.7495      59.7234
   1428.64464      34.3461      44.4307    1413.01964      28.8735      60.1316
   1428.62938      34.5540      44.6637    1413.00438      28.9649      60.2094
   1428.61413      34.7042      44.9482    1412.98913      29.1012      60.6800
   1428.59887      34.9773      45.2181    1412.97387      29.1889      61.0924
   1428.58361      35.1064      45.3242    1412.95861      29.2933      61.3053
   1428.56835      35.3919      45.6371    1412.94335      29.4919      61.7171
   1428.55309      35.6659      45.7327    1412.92809      29.5981      62.0621
   1428.53783      35.6899      45.9724    1412.91283      29.5982      62.5356
   1428.52257      36.0536      46.4206    1412.89757      29.8930      62.5641
   1428.50731      36.3101      46.5120    1412.88231      29.9903      63.1240
   1428.49206      36.3560      46.6790    1412.86706      30.1580      63.6855
   1428.47680      36.7296      46.8623    1412.85180      30.3061      63.8063
   1428.46154      36.9532      47.2432    1412.83654      30.3983      64.1807
   1428.44628      37.0189      47.5027    1412.82128      30.4355      64.4337
   1428.43102      37.2464      47.6460    1412.80602      30.6679      64.9669
   1428.41576      37.5351      47.9916    1412.79076      30.7828      65.3433
   1428.40050      37.7068      48.0337    1412.77550      30.9482      65.7512
   1428.38524      37.9580      48.3865    1412.76024      31.0064      66.1500
   1428.36999      38.1912      48.7166    1412.74499      31.1815      66.4311
   1428.35473      38.4283      49.0269    1412.72973      31.3317      66.7583
   1428.33947      38.5928      49.1908    1412.71447      31.5296      67.1498
   1428.32421      38.7741      49.5482    1412.69921      31.7137      67.5659
   1428.30895      39.0421      49.8234    1412.68395      31.7949      68.0712
   1428.29369      39.3584      49.9849    1412.66869      31.9953      68.4752
   1428.27843      39.5113      50.3320    1412.65343      32.0815      68.5407
   1428.26317      39.7989      50.4830    1412.63817      32.3062      69.1055
   1428.24792      39.8744      50.6653    1412.62292      32.4601      69.5592
   1428.23266      40.2194      51.0669    1412.60766      32.5592      69.8753
   1428.21740      40.4121      51.3182    1412.59240      32.6494      70.4277
   1428.20214      40.5896      51.5159    1412.57714      32.8952      70.7341
   1428.18688      40.8837      51.7740    1412.56188      33.0291      70.9910
   1428.17162      41.1376      52.0145    1412.54662      33.3109      71.7415
   1428.15636      41.2914      52.2762    1412.53136      33.4808      72.0714
   1428.14110      41.6173      52.7434    1412.51610      33.5221      72.4949
   1428.12584      41.7760      52.8228    1412.50084      33.6855      72.8985
   1428.11059      41.9636      53.0968    1412.48559      33.9163      73.0970
   1428.09533      42.1587      53.3732    1412.47033      34.0910      73.7121
   1428.08007      42.4964      53.5201    1412.45507      34.2779      74.1166
   1428.06481      42.5171      53.8397    1412.43981      34.4374      74.4502
   1428.04955      42.8399      54.2904    1412.42455      34.6272      74.8424
   1428.03429      43.0799      54.4791    1412.40929      34.7787      75.3201
   1428.01903      43.3038      54.5783    1412.39403      34.9389      75.6332
   1428.00377      43.5994      55.1091    1412.37877      35.0735      76.3913
   1427.98852      43.5928      55.2425    1412.36352      35.3071      76.6130
   1427.97326      43.9108      55.6980    1412.34826      35.4820      77.0435
   1427.95800      44.2051      55.8866    1412.33300      35.5802      77.3170
