#     FILENAME=Skynet_61089_GLong_86_145820_96114.A.spect.cal.txt
#     BASENAME=Skynet_61089_GLong_86_145820_96114
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61089_GLong_86_145820
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61089_GLong_86_145820/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLong_86
#     OBSERVER=katerickels_69750
#     DATE_OBS=2026-02-18T22:15:32.000
#        OBSID=145820
#      SCANNUM=96114
#          MJD=61089.9274537
#          UTC=80132
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=39.46
#     EXPOSURE=31.14
#        FOCUS=37.071
#       RA,DEC=20:56:34.35, 45:20:59.75
#      RA(deg)=314.10432
#     DEC(deg)=45.34995
#   WIDTH(deg)=0.0580x0.0031
#    AZIM(deg)=307.4918
#    ELEV(deg)=26.9663
#     COORDREF=LNG_LAT
#         HREF=86.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=4.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.19, 0.38] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=25 
#      BOXTEMP=14 
#         TSYS=XX1:55.46, YY1:80.15
#         TSYS=XX2:47.84, YY2:82.91
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      26.3565      36.2261    1413.29430      23.3811      47.5302
   1428.90404      26.4006      36.3042    1413.27904      23.4985      47.7956
   1428.88878      26.5562      36.4546    1413.26378      23.5822      47.9799
   1428.87353      26.7278      36.5327    1413.24853      23.6569      48.1254
   1428.85827      26.8633      36.7398    1413.23327      23.6921      48.3669
   1428.84301      27.0635      36.8241    1413.21801      23.7394      48.5336
   1428.82775      27.2457      37.0349    1413.20275      23.8525      48.7782
   1428.81249      27.3258      37.1284    1413.18749      23.9918      49.1772
   1428.79723      27.4813      37.3808    1413.17223      24.0402      49.2041
   1428.78197      27.6190      37.6082    1413.15697      24.1229      49.5015
   1428.76671      27.7409      37.6814    1413.14171      24.2599      49.7774
   1428.75146      27.8814      37.9813    1413.12646      24.2920      50.0236
   1428.73620      28.1186      38.0631    1413.11120      24.4403      50.2162
   1428.72094      28.2918      38.2099    1413.09594      24.5175      50.4691
   1428.70568      28.4523      38.3461    1413.08068      24.6161      50.6608
   1428.69042      28.6430      38.6384    1413.06542      24.7498      51.1016
   1428.67516      28.8460      38.6955    1413.05016      24.8522      51.4445
   1428.65990      28.9631      38.9300    1413.03490      24.9182      51.5334
   1428.64464      29.1673      39.1293    1413.01964      24.9996      51.8481
   1428.62938      29.2822      39.2279    1413.00438      25.1469      52.0595
   1428.61413      29.4549      39.5139    1412.98913      25.2180      52.3336
   1428.59887      29.6028      39.7905    1412.97387      25.4327      52.8609
   1428.58361      29.8590      39.9106    1412.95861      25.4630      53.1040
   1428.56835      29.9693      40.0943    1412.94335      25.6295      53.3115
   1428.55309      30.1016      40.2583    1412.92809      25.7175      53.5689
   1428.53783      30.2569      40.5401    1412.91283      25.8223      53.8245
   1428.52257      30.4453      40.8070    1412.89757      25.9869      54.3241
   1428.50731      30.6690      40.9789    1412.88231      26.1118      54.4885
   1428.49206      30.9007      41.1270    1412.86706      26.2231      54.6153
   1428.47680      31.0730      41.2987    1412.85180      26.3354      55.1886
   1428.46154      31.1955      41.6089    1412.83654      26.4420      55.4605
   1428.44628      31.4655      41.8195    1412.82128      26.6091      55.8340
   1428.43102      31.5492      42.0279    1412.80602      26.7243      56.1111
