#     FILENAME=Skynet_61090_GLong_68_145784_96187.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLong_68_145784_96187
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLong_68_145784
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLong_68_145784/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLong_68
#     OBSERVER=katerickels_69750
#     DATE_OBS=2026-02-19T10:31:60.000
#        OBSID=145784
#      SCANNUM=96187
#          MJD=61090.4388889
#          UTC=37920
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=40.53
#     EXPOSURE=31.14
#        FOCUS=37.071
#       RA,DEC=20:02:37.40, 30:45:09.61
#      RA(deg)=300.61242
#     DEC(deg)=30.75335
#   WIDTH(deg)=0.0786x0.0036
#    AZIM(deg)=72.7487
#    ELEV(deg)=30.7065
#     COORDREF=LNG_LAT
#         HREF=68.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=4.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.9, 0.46] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=36 
#      BOXTEMP=6 
#         TSYS=XX1:47.00, YY1:77.96
#         TSYS=XX2:40.41, YY2:82.83
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      22.6427      35.8729    1413.29430      19.3125      48.3096
   1428.90404      22.7423      36.0574    1413.27904      19.3222      48.4901
   1428.88878      22.8482      36.2716    1413.26378      19.3812      48.7707
   1428.87353      22.9752      36.4105    1413.24853      19.5178      48.9424
   1428.85827      23.1196      36.5124    1413.23327      19.4964      49.0532
   1428.84301      23.2826      36.6996    1413.21801      19.5701      49.3913
   1428.82775      23.3334      36.8211    1413.20275      19.6459      49.6628
   1428.81249      23.5383      36.8671    1413.18749      19.7241      49.8495
   1428.79723      23.6868      37.1068    1413.17223      19.7798      50.0898
   1428.78197      23.8358      37.3255    1413.15697      19.8252      50.4898
   1428.76671      23.9265      37.3646    1413.14171      19.8830      50.6668
   1428.75146      24.0957      37.6908    1413.12646      19.9448      50.8488
   1428.73620      24.2320      37.7449    1413.11120      20.0833      51.1302
   1428.72094      24.4338      37.9211    1413.09594      20.1356      51.3588
   1428.70568      24.5947      37.9888    1413.08068      20.1339      51.5157
   1428.69042      24.6827      38.2159    1413.06542      20.2250      51.9669
   1428.67516      24.8451      38.4067    1413.05016      20.3644      52.0636
   1428.65990      24.9718      38.7238    1413.03490      20.4368      52.4076
   1428.64464      25.1738      38.7813    1413.01964      20.4959      52.7130
   1428.62938      25.3457      39.0458    1413.00438      20.6001      53.0197
   1428.61413      25.4308      39.2480    1412.98913      20.6653      53.2994
   1428.59887      25.5835      39.3924    1412.97387      20.7385      53.6357
   1428.58361      25.8380      39.6426    1412.95861      20.8395      53.9927
   1428.56835      25.9626      39.8983    1412.94335      20.9312      54.1760
   1428.55309      26.2076      40.0358    1412.92809      21.1014      54.4674
   1428.53783      26.3432      40.2608    1412.91283      21.1454      54.7355
   1428.52257      26.4053      40.3835    1412.89757      21.2251      55.1300
   1428.50731      26.5889      40.6718    1412.88231      21.3263      55.4735
   1428.49206      26.8048      40.8721    1412.86706      21.3966      55.6620
   1428.47680      26.9707      41.0900    1412.85180      21.5377      56.0894
   1428.46154      27.0482      41.2501    1412.83654      21.6177      56.4172
   1428.44628      27.2718      41.6135    1412.82128      21.7676      56.6534
   1428.43102      27.3835      41.8244    1412.80602      21.8116      56.9759
   1428.41576      27.5901      41.9188    1412.79076      21.9271      57.6719
   1428.40050      27.8389      42.1897    1412.77550      22.0595      57.9020
   1428.38524      27.9452      42.3586    1412.76024      22.1393      57.9952
   1428.36999      28.0917      42.6439    1412.74499      22.2300      58.5053
   1428.35473      28.2681      42.8368    1412.72973      22.3393      58.6884
   1428.33947      28.4764      43.0088    1412.71447      22.5164      59.0134
   1428.32421      28.5874      43.1704    1412.69921      22.5917      59.4130
   1428.30895      28.7991      43.4039    1412.68395      22.6808      59.7614
   1428.29369      28.8919      43.7665    1412.66869      22.7792      60.2220
   1428.27843      29.1471      43.9754    1412.65343      22.9527      60.5039
   1428.26317      29.3723      44.1139    1412.63817      23.0133      60.8835
   1428.24792      29.4995      44.4330    1412.62292      23.0879      61.2004
