#     FILENAME=Skynet_61090_GLONG_21_145856_96177.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG_21_145856_96177
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG_21_145856
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG_21_145856/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG_21
#     OBSERVER=delima6_74447
#     DATE_OBS=2026-02-19T10:19:12.000
#        OBSID=145856
#      SCANNUM=96177
#          MJD=61090.43
#          UTC=37152
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=34.63
#     EXPOSURE=28.19
#        FOCUS=37.071
#       RA,DEC=18:29:34.72, -10:36:11.86
#      RA(deg)=277.35568
#     DEC(deg)=-10.60316
#   WIDTH(deg)=0.0059x0.0013
#    AZIM(deg)=122.3532
#    ELEV(deg)=20.0968
#     COORDREF=LNG_LAT
#         HREF=21.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=6.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.23, 0.5] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=32 
#      BOXTEMP=6 
#         TSYS=XX1:64.66, YY1:90.12
#         TSYS=XX2:54.56, YY2:94.61
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      30.5308      40.5724    1413.29430      26.6365      54.9371
   1428.90404      30.6692      40.6944    1413.27904      26.8230      55.2380
   1428.88878      30.8220      40.8179    1413.26378      26.8609      55.0873
   1428.87353      31.1209      40.9513    1413.24853      26.9670      55.4550
   1428.85827      31.2496      41.2736    1413.23327      26.8791      55.7644
   1428.84301      31.4415      41.2913    1413.21801      27.0217      55.9886
   1428.82775      31.5196      41.4558    1413.20275      27.0312      56.2417
   1428.81249      31.7500      41.7304    1413.18749      27.2019      56.4822
   1428.79723      31.9225      41.9765    1413.17223      27.2969      56.9897
   1428.78197      32.1394      42.0953    1413.15697      27.2562      56.9736
   1428.76671      32.2448      42.3377    1413.14171      27.4634      57.2883
   1428.75146      32.5445      42.5161    1413.12646      27.5100      57.5518
   1428.73620      32.6105      42.7014    1413.11120      27.5849      57.6532
   1428.72094      32.8397      42.9847    1413.09594      27.5970      58.1264
   1428.70568      33.0937      42.9619    1413.08068      27.8085      58.4933
   1428.69042      33.2315      43.2362    1413.06542      27.9411      58.7807
   1428.67516      33.4826      43.5329    1413.05016      27.9451      59.0124
   1428.65990      33.6452      43.6154    1413.03490      28.1374      59.2995
   1428.64464      33.8184      44.0099    1413.01964      28.2226      59.7781
   1428.62938      34.1168      44.0359    1413.00438      28.2913      59.8776
   1428.61413      34.3533      44.2396    1412.98913      28.4665      60.4486
   1428.59887      34.5058      44.4120    1412.97387      28.5129      60.5988
   1428.58361      34.6220      44.6461    1412.95861      28.6723      61.0817
   1428.56835      34.8884      44.8487    1412.94335      28.7832      61.3107
   1428.55309      35.1780      45.2045    1412.92809      28.9836      61.8448
   1428.53783      35.3822      45.4191    1412.91283      28.9859      62.0151
   1428.52257      35.5403      45.6783    1412.89757      29.2026      62.1586
   1428.50731      35.6892      45.8124    1412.88231      29.3738      62.5975
   1428.49206      35.9436      46.0870    1412.86706      29.3599      63.2643
   1428.47680      36.0944      46.3999    1412.85180      29.5885      63.4666
   1428.46154      36.3190      46.5750    1412.83654      29.7269      64.0118
   1428.44628      36.6022      46.8571    1412.82128      29.8463      64.1986
   1428.43102      36.8821      47.0456    1412.80602      29.9889      64.4458
   1428.41576      37.0092      47.4149    1412.79076      30.0921      64.8383
   1428.40050      37.3056      47.5668    1412.77550      30.3841      65.3326
   1428.38524      37.4600      47.7844    1412.76024      30.4406      65.6417
   1428.36999      37.6042      48.0657    1412.74499      30.5677      66.1361
   1428.35473      37.9624      48.1740    1412.72973      30.6521      66.4240
   1428.33947      38.0551      48.4457    1412.71447      30.7951      66.7634
   1428.32421      38.3263      48.8962    1412.69921      30.9620      67.1382
   1428.30895      38.5635      49.0255    1412.68395      31.0373      67.5102
   1428.29369      38.8741      49.3185    1412.66869      31.2597      68.0411
   1428.27843      39.0404      49.6160    1412.65343      31.4191      68.3801
   1428.26317      39.2688      49.7347    1412.63817      31.5871      68.8105
   1428.24792      39.5394      50.0144    1412.62292      31.6757      69.2536
   1428.23266      39.7217      50.5143    1412.60766      31.8917      69.5456
   1428.21740      39.8325      50.5779    1412.59240      32.0112      69.7532
   1428.20214      40.0024      50.8598    1412.57714      32.1726      70.3601
   1428.18688      40.4335      51.2719    1412.56188      32.3760      70.6186
   1428.17162      40.5104      51.5074    1412.54662      32.4977      71.2193
   1428.15636      40.8640      51.7598    1412.53136      32.6180      71.6054
   1428.14110      41.1058      51.9038    1412.51610      32.9013      71.9579
   1428.12584      41.2086      52.2744    1412.50084      33.0214      72.5321
   1428.11059      41.4620      52.4576    1412.48559      33.1964      72.8679
   1428.09533      41.5453      52.7835    1412.47033      33.3180      73.0975
   1428.08007      41.8298      52.9394    1412.45507      33.5747      73.8246
   1428.06481      42.1592      53.2524    1412.43981      33.6690      74.1564
   1428.04955      42.3705      53.5379    1412.42455      33.8587      74.4987
   1428.03429      42.4875      53.7496    1412.40929      33.9827      74.8255
   1428.01903      42.7875      54.0726    1412.39403      34.1231      75.3883
   1428.00377      42.9683      54.3246    1412.37877      34.3407      75.8612
   1427.98852      43.2121      54.6196    1412.36352      34.4782      76.3252
   1427.97326      43.3998      55.0040    1412.34826      34.6950      76.7765
   1427.95800      43.5878      54.9361    1412.33300      35.0534      76.9927
   1427.94274      43.7050      55.3969    1412.31774      34.9887      77.3527
   1427.92748      44.0211      55.6970    1412.30248      35.2837      77.8648
   1427.91222      44.0659      55.9141    1412.28722      35.3802      78.4864
   1427.89696      44.3872      56.2618    1412.27196      35.6270      78.6468
   1427.88170      44.6403      56.6495    1412.25670      35.7036      78.9985
   1427.86645      44.8670      56.5753    1412.24145      35.8975      79.5258
   1427.85119      44.8852      56.9754    1412.22619      36.0801      79.7970
   1427.83593      45.1336      57.3720    1412.21093      36.3234      80.5225
   1427.82067      45.5346      57.5439    1412.19567      36.3914      80.8490
   1427.80541      45.5758      57.8980    1412.18041      36.5681      81.2245
   1427.79015      45.9104      58.0580    1412.16515      36.8203      81.6317
   1427.77489      45.9798      58.2727    1412.14989      37.0010      82.1531
   1427.75963      46.2572      58.6330    1412.13463      37.1173      82.4394
   1427.74437      46.2891      58.7282    1412.11937      37.3057      83.0160
   1427.72912      46.4875      58.9112    1412.10412      37.5222      83.2318
   1427.71386      46.9064      59.3920    1412.08886      37.7864      83.6519
   1427.69860      46.9294      59.7065    1412.07360      37.8193      84.0743
   1427.68334      47.1386      59.7582    1412.05834      38.0846      84.3729
   1427.66808      47.3943      60.0811    1412.04308      38.1560      84.7887
   1427.65282      47.6340      60.2934    1412.02782      38.4961      85.2826
   1427.63756      47.7532      60.6676    1412.01256      38.5678      85.6944
   1427.62230      47.8427      61.0232    1411.99730      38.8674      86.0214
   1427.60705      48.0761      61.1935    1411.98205      38.9096      86.5283
   1427.59179      48.2491      61.4172    1411.96679      39.1828      86.7472
   1427.57653      48.4037      61.6568    1411.95153      39.4142      87.1462
   1427.56127      48.4765      61.9598    1411.93627      39.5578      87.5701
   1427.54601      48.7990      61.9690    1411.92101      39.6320      87.7996
   1427.53075      48.8805      62.3663    1411.90575      39.8298      88.4174
   1427.51549      49.1715      62.6281    1411.89049      40.0233      88.5703
   1427.50023      49.2673      62.9274    1411.87523      40.1854      89.0728
   1427.48498      49.3053      63.0704    1411.85998      40.4599      89.2711
   1427.46972      49.5696      63.3411    1411.84472      40.6731      89.8489
   1427.45446      49.7157      63.5124    1411.82946      40.7995      90.3181
   1427.43920      49.9961      63.6711    1411.81420      40.9534      90.6379
   1427.42394      49.9044      63.9740    1411.79894      41.2074      90.9361
   1427.40868      50.1824      64.4353    1411.78368      41.2899      91.1614
   1427.39342      50.3260      64.4885    1411.76842      41.5720      91.5185
   1427.37816      50.5329      64.6871    1411.75316      41.7396      91.6785
   1427.36291      50.5614      64.8964    1411.73791      41.7333      92.2781
   1427.34765      50.7641      65.2771    1411.72265      42.1633      92.9346
   1427.33239      50.7659      65.3777    1411.70739      42.2216      93.1464
   1427.31713      50.9603      65.6880    1411.69213      42.4262      93.2522
   1427.30187      51.1642      65.9071    1411.67687      42.5390      93.7199
   1427.28661      51.3037      66.1732    1411.66161      42.5936      94.0840
   1427.27135      51.2976      66.1341    1411.64635      42.7572      94.1816
   1427.25609      51.5381      66.4993    1411.63109      43.1396      94.6735
   1427.24083      51.6198      66.5510    1411.61583      43.1579      95.1104
   1427.22558      51.5914      66.7904    1411.60058      43.5475      95.3053
   1427.21032      51.8269      67.1851    1411.58532      43.5966      95.7886
   1427.19506      52.0167      67.5454    1411.57006      43.7031      96.0117
   1427.17980      52.0712      67.5649    1411.55480      43.9794      96.1684
   1427.16454      52.0983      67.6552    1411.53954      44.0551      96.6147
   1427.14928      52.3650      68.0576    1411.52428      44.3883      96.7484
   1427.13402      52.4442      68.1113    1411.50902      44.5079      97.3945
   1427.11876      52.5543      68.3292    1411.49376      44.6206      97.6157
   1427.10351      52.6301      68.6219    1411.47851      44.8582      97.6072
   1427.08825      52.7943      68.6336    1411.46325      45.0092      98.0485
   1427.07299      52.8235      68.8781    1411.44799      45.2347      98.3642
   1427.05773      52.9129      69.0544    1411.43273      45.3756      98.7801
   1427.04247      52.8113      69.4686    1411.41747      45.5008      98.8115
   1427.02721      52.9952      69.6488    1411.40221      45.7203      99.3740
   1427.01195      53.2208      69.9095    1411.38695      45.7709      99.6277
   1426.99669      53.2202      70.1766    1411.37169      46.0911      99.6925
   1426.98144      53.4380      70.1659    1411.35644      46.1524     100.1354
   1426.96618      53.3572      70.5912    1411.34118      46.3393     100.0778
   1426.95092      53.3924      70.4448    1411.32592      46.6863     100.4420
   1426.93566      53.4287      70.7895    1411.31066      46.6328     100.9465
   1426.92040      53.6102      71.0200    1411.29540      47.0243     100.8356
   1426.90514      53.7836      71.1224    1411.28014      47.1927     101.3962
   1426.88988      53.7320      71.2741    1411.26488      47.1255     101.5463
   1426.87462      53.8128      71.5399    1411.24962      47.4754     101.9500
   1426.85937      54.0067      71.5097    1411.23437      47.5528     102.5516
   1426.84411      53.9049      72.0839    1411.21911      47.8342     102.6272
   1426.82885      53.9124      71.8812    1411.20385      48.0016     102.5647
   1426.81359      54.0641      72.0376    1411.18859      48.1452     102.8073
   1426.79833      53.9570      72.3297    1411.17333      48.2546     103.0828
   1426.78307      54.2929      72.6149    1411.15807      48.5351     103.1446
   1426.76781      54.2482      72.6193    1411.14281      48.7994     103.6203
   1426.75255      54.3181      72.8619    1411.12755      48.6889     103.8113
   1426.73729      54.3733      73.2080    1411.11229      49.0507     104.0610
   1426.72204      54.2814      73.2535    1411.09704      49.1245     104.1635
   1426.70678      54.4074      73.1853    1411.08178      49.1874     104.5209
   1426.69152      54.4238      73.5705    1411.06652      49.3283     104.6396
   1426.67626      54.2941      73.7359    1411.05126      49.7414     104.5488
   1426.66100      54.4682      73.8811    1411.03600      49.6545     104.9518
   1426.64574      54.5032      74.0103    1411.02074      49.9744     105.1561
   1426.63048      54.4718      74.1521    1411.00548      50.1005     105.4852
   1426.61522      54.5505      74.3240    1410.99022      50.2878     105.6311
   1426.59997      54.7694      74.4023    1410.97497      50.5019     105.7815
   1426.58471      54.4963      74.6660    1410.95971      50.7677     105.9448
   1426.56945      54.7892      74.8054    1410.94445      50.7910     106.2208
   1426.55419      54.8289      74.9100    1410.92919      50.9336     106.4649
   1426.53893      54.7069      75.1236    1410.91393      51.1540     106.5308
   1426.52367      54.7185      75.3224    1410.89867      51.3865     106.6321
   1426.50841      54.6376      75.5945    1410.88341      51.3430     106.6558
   1426.49315      54.7037      75.6762    1410.86815      51.6204     107.2460
   1426.47790      54.6774      75.7608    1410.85290      51.8049     106.9332
   1426.46264      54.6938      75.9042    1410.83764      51.8858     107.1953
   1426.44738      54.8292      76.0125    1410.82238      52.1956     107.3971
   1426.43212      54.6289      76.0353    1410.80712      52.2645     107.7852
   1426.41686      54.7817      76.3973    1410.79186      52.5666     107.8657
   1426.40160      55.0589      76.3544    1410.77660      52.5958     107.7894
   1426.38634      54.9082      76.5946    1410.76134      52.7726     107.9535
   1426.37108      54.7717      76.6017    1410.74608      53.0558     107.9943
   1426.35583      54.8631      76.8695    1410.73083      53.1415     108.2486
   1426.34057      54.7767      77.3017    1410.71557      53.3460     108.0795
   1426.32531      54.8646      77.0786    1410.70031      53.3744     108.7291
   1426.31005      54.7763      77.4023    1410.68505      53.7850     108.8536
   1426.29479      54.8249      77.6221    1410.66979      53.8452     108.8561
   1426.27953      54.7588      77.6827    1410.65453      53.8805     109.0773
   1426.26427      54.7727      77.8725    1410.63927      54.0424     109.2419
   1426.24901      54.7991      77.6814    1410.62401      54.2167     109.4372
   1426.23375      54.7777      77.7183    1410.60875      54.3680     109.2613
   1426.21850      54.7398      78.0661    1410.59350      54.5249     109.3076
   1426.20324      54.8783      78.2703    1410.57824      54.6861     109.4474
   1426.18798      54.7625      78.3715    1410.56298      54.7089     109.6949
   1426.17272      54.7024      78.5487    1410.54772      55.0815     109.7335
   1426.15746      54.7323      78.7626    1410.53246      55.2303     109.6569
   1426.14220      54.7008      78.6390    1410.51720      55.2923     110.0604
   1426.12694      54.6542      78.8498    1410.50194      55.6241     110.2300
   1426.11168      54.6658      78.8900    1410.48668      55.7610     109.9504
   1426.09643      54.5274      79.0157    1410.47143      55.8020     110.2660
   1426.08117      54.4026      79.2143    1410.45617      56.1165     110.6024
   1426.06591      54.5436      79.4207    1410.44091      56.1275     110.7666
   1426.05065      54.5664      79.4109    1410.42565      56.4597     110.7977
   1426.03539      54.5606      79.5458    1410.41039      56.6094     110.7295
   1426.02013      54.4139      79.6541    1410.39513      56.6352     110.6362
   1426.00487      54.4085      80.1184    1410.37987      56.8235     110.9255
   1425.98961      54.4483      80.0389    1410.36461      57.0133     110.7731
   1425.97436      54.5108      80.0987    1410.34936      57.1790     111.0389
   1425.95910      54.4830      80.4152    1410.33410      57.3856     110.8617
   1425.94384      54.4373      80.2626    1410.31884      57.6272     110.9417
   1425.92858      54.3966      80.6738    1410.30358      57.7195     111.1686
   1425.91332      54.3055      80.6905    1410.28832      57.7828     111.7129
