#     FILENAME=Skynet_61089_GLong_89_145825_96117.A.spect.cal.txt
#     BASENAME=Skynet_61089_GLong_89_145825_96117
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61089_GLong_89_145825
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61089_GLong_89_145825/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLong_89
#     OBSERVER=katerickels_69750
#     DATE_OBS=2026-02-18T22:18:18.000
#        OBSID=145825
#      SCANNUM=96117
#          MJD=61089.929375
#          UTC=80298
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=35.43
#     EXPOSURE=28.72
#        FOCUS=37.093
#       RA,DEC=21:08:06.40, 47:35:49.51
#      RA(deg)=316.98715
#     DEC(deg)=47.59744
#   WIDTH(deg)=0.0051x0.0011
#    AZIM(deg)=308.9795
#    ELEV(deg)=29.3388
#     COORDREF=LNG_LAT
#         HREF=89.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=4.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.34, 0.46] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=25 
#      BOXTEMP=14 
#         TSYS=XX1:50.55, YY1:75.49
#         TSYS=XX2:43.33, YY2:78.24
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      23.7976      34.1544    1413.29430      21.2043      44.9648
   1428.90404      23.9370      34.0743    1413.27904      21.2064      44.9741
   1428.88878      24.0964      34.3066    1413.26378      21.2680      45.3127
   1428.87353      24.1924      34.5534    1413.24853      21.3166      45.5132
   1428.85827      24.3555      34.6760    1413.23327      21.4472      45.8349
   1428.84301      24.5264      34.7530    1413.21801      21.4609      45.8939
   1428.82775      24.5650      34.8317    1413.20275      21.5898      46.1167
   1428.81249      24.7900      34.9961    1413.18749      21.5912      46.2947
   1428.79723      24.9148      35.3469    1413.17223      21.7117      46.6643
   1428.78197      25.0564      35.3652    1413.15697      21.8373      46.8897
   1428.76671      25.1377      35.5201    1413.14171      21.8584      47.0672
   1428.75146      25.3099      35.7609    1413.12646      21.9917      47.3208
   1428.73620      25.4381      35.8257    1413.11120      22.0344      47.4895
   1428.72094      25.6016      36.0187    1413.09594      22.1898      47.6888
   1428.70568      25.7825      36.1848    1413.08068      22.2456      47.9755
   1428.69042      25.9702      36.4114    1413.06542      22.2913      48.1900
   1428.67516      26.1123      36.5201    1413.05016      22.4555      48.6035
   1428.65990      26.2286      36.8205    1413.03490      22.6003      48.7372
   1428.64464      26.3560      36.9512    1413.01964      22.6213      49.1541
   1428.62938      26.5505      37.0918    1413.00438      22.7137      49.2674
   1428.61413      26.6919      37.2040    1412.98913      22.8057      49.5027
   1428.59887      26.8450      37.3950    1412.97387      22.9270      49.7466
   1428.58361      27.0026      37.6350    1412.95861      23.0485      50.1688
   1428.56835      27.2467      37.7080    1412.94335      23.1579      50.3789
   1428.55309      27.3810      38.1361    1412.92809      23.2864      50.6257
   1428.53783      27.5668      38.0851    1412.91283      23.3343      50.9551
   1428.52257      27.7330      38.3844    1412.89757      23.4910      51.1379
   1428.50731      27.8813      38.6131    1412.88231      23.6539      51.7275
   1428.49206      28.0146      38.7028    1412.86706      23.7371      51.7778
   1428.47680      28.1651      39.0481    1412.85180      23.8619      52.1638
   1428.46154      28.3435      39.3003    1412.83654      23.9929      52.5022
   1428.44628      28.5766      39.3368    1412.82128      23.9829      52.8791
   1428.43102      28.7039      39.6314    1412.80602      24.1435      53.2156
