#     FILENAME=Skynet_61090_GLONG-48_145817_96154.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG-48_145817_96154
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG-48_145817
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG-48_145817/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG-48
#     OBSERVER=davy_ball_74442
#     DATE_OBS=2026-02-19T09:55:43.000
#        OBSID=145817
#      SCANNUM=96154
#          MJD=61090.4136921
#          UTC=35743
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=34.90
#     EXPOSURE=28.45
#        FOCUS=37.071
#       RA,DEC=19:19:35.97, 13:22:38.85
#      RA(deg)=289.85819
#     DEC(deg)=13.37759
#   WIDTH(deg)=0.0058x0.0014
#    AZIM(deg)=90.0349
#    ELEV(deg)=22.4757
#     COORDREF=LNG_LAT
#         HREF=48.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=5.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.06, 0.42] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=44 
#      BOXTEMP=6 
#         TSYS=XX1:55.58, YY1:78.25
#         TSYS=XX2:47.08, YY2:81.62
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      26.2805      35.1838    1413.29430      22.8820      47.1390
   1428.90404      26.5806      35.3684    1413.27904      22.9572      47.3181
   1428.88878      26.6720      35.4195    1413.26378      23.0198      47.5602
   1428.87353      26.8944      35.6443    1413.24853      22.9810      47.6596
   1428.85827      26.9865      35.7829    1413.23327      23.0340      47.8525
   1428.84301      27.1544      35.9594    1413.21801      23.1599      48.0185
   1428.82775      27.2866      36.1517    1413.20275      23.1757      48.3418
   1428.81249      27.4083      36.3160    1413.18749      23.3070      48.6155
   1428.79723      27.5668      36.3617    1413.17223      23.3764      48.7592
   1428.78197      27.6662      36.6350    1413.15697      23.4056      48.9299
   1428.76671      27.8354      36.7465    1413.14171      23.4697      49.1751
   1428.75146      28.0097      36.9881    1413.12646      23.6060      49.4047
   1428.73620      28.1733      37.1331    1413.11120      23.6747      49.6286
   1428.72094      28.4030      37.3220    1413.09594      23.7288      49.9858
   1428.70568      28.5859      37.4738    1413.08068      23.7791      50.1220
   1428.69042      28.7124      37.6493    1413.06542      23.9524      50.5559
   1428.67516      28.8804      37.6902    1413.05016      24.0852      50.8226
   1428.65990      29.0412      38.0015    1413.03490      24.0934      51.0485
   1428.64464      29.2652      38.1205    1413.01964      24.2762      51.3343
   1428.62938      29.4084      38.3311    1413.00438      24.2884      51.5610
   1428.61413      29.6060      38.4751    1412.98913      24.3983      51.6429
   1428.59887      29.7487      38.6913    1412.97387      24.4938      52.3084
   1428.58361      30.0172      38.9308    1412.95861      24.6559      52.3492
   1428.56835      30.1440      39.1882    1412.94335      24.6755      52.7348
   1428.55309      30.3457      39.2496    1412.92809      24.7671      53.0742
   1428.53783      30.4866      39.5184    1412.91283      24.9132      53.4073
   1428.52257      30.6243      39.6734    1412.89757      25.0224      53.7208
   1428.50731      30.8291      39.9958    1412.88231      25.1452      53.9181
   1428.49206      31.0155      40.0708    1412.86706      25.2306      54.2629
   1428.47680      31.2434      40.2944    1412.85180      25.3805      54.4166
   1428.46154      31.3579      40.6450    1412.83654      25.4760      54.8838
   1428.44628      31.6554      40.7250    1412.82128      25.5940      55.2129
   1428.43102      31.8219      40.9584    1412.80602      25.6691      55.4711
   1428.41576      31.9746      41.1351    1412.79076      25.8620      55.8197
