#     FILENAME=Skynet_61090_GLONG-58_145833_96169.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG-58_145833_96169
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG-58_145833
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG-58_145833/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG-58
#     OBSERVER=davy_ball_74442
#     DATE_OBS=2026-02-19T10:10:36.000
#        OBSID=145833
#      SCANNUM=96169
#          MJD=61090.4240278
#          UTC=36636
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=34.63
#     EXPOSURE=28.45
#        FOCUS=37.071
#       RA,DEC=19:39:46.57, 22:09:10.85
#      RA(deg)=294.89951
#     DEC(deg)=22.15307
#   WIDTH(deg)=0.0069x0.0011
#    AZIM(deg)=81.3225
#    ELEV(deg)=26.4827
#     COORDREF=LNG_LAT
#         HREF=58.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=5.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.85, 0.34] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=32 
#      BOXTEMP=6 
#         TSYS=XX1:47.99, YY1:72.75
#         TSYS=XX2:40.81, YY2:76.08
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      22.7981      32.8710    1413.29430      19.6508      44.0854
   1428.90404      22.8838      33.1637    1413.27904      19.6991      44.3560
   1428.88878      23.0645      33.2579    1413.26378      19.6715      44.5189
   1428.87353      23.1364      33.4601    1413.24853      19.7457      44.7453
   1428.85827      23.3316      33.5633    1413.23327      19.7703      44.8634
   1428.84301      23.4400      33.5958    1413.21801      19.7975      45.0419
   1428.82775      23.6059      33.8483    1413.20275      19.9019      45.3998
   1428.81249      23.7078      34.0040    1413.18749      19.9464      45.5312
   1428.79723      23.9020      34.1784    1413.17223      20.0376      45.6842
   1428.78197      23.9543      34.3114    1413.15697      20.1540      46.0708
   1428.76671      24.1159      34.4682    1413.14171      20.1675      46.3515
   1428.75146      24.2673      34.5428    1413.12646      20.2444      46.4772
   1428.73620      24.4696      34.7122    1413.11120      20.3457      46.5870
   1428.72094      24.6138      34.8265    1413.09594      20.3882      46.7209
   1428.70568      24.6846      35.0891    1413.08068      20.4700      47.2370
   1428.69042      24.8925      35.3612    1413.06542      20.5896      47.3269
   1428.67516      25.1116      35.5061    1413.05016      20.6307      47.6503
   1428.65990      25.2187      35.6615    1413.03490      20.6406      47.9197
   1428.64464      25.2980      35.8129    1413.01964      20.7612      48.1684
   1428.62938      25.4874      35.8688    1413.00438      20.8948      48.3375
   1428.61413      25.6522      36.0980    1412.98913      20.9286      48.5882
   1428.59887      25.7385      36.3603    1412.97387      21.0255      48.9081
   1428.58361      25.9561      36.5477    1412.95861      21.1042      49.2140
   1428.56835      26.1113      36.7537    1412.94335      21.2177      49.5403
   1428.55309      26.2847      36.8002    1412.92809      21.2440      49.7467
   1428.53783      26.4184      37.0336    1412.91283      21.3807      50.0718
   1428.52257      26.6712      37.2569    1412.89757      21.4767      50.2826
   1428.50731      26.7619      37.4315    1412.88231      21.6195      50.6287
   1428.49206      26.9591      37.6352    1412.86706      21.6791      50.7778
   1428.47680      27.1266      37.8544    1412.85180      21.7405      51.1442
   1428.46154      27.2829      38.1157    1412.83654      21.8521      51.5483
   1428.44628      27.4154      38.2155    1412.82128      21.9655      51.7953
   1428.43102      27.5453      38.3692    1412.80602      22.0346      52.0325
   1428.41576      27.7274      38.7401    1412.79076      22.1717      52.4795
