#     FILENAME=Skynet_61090_GLong_71_145791_96193.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLong_71_145791_96193
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLong_71_145791
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLong_71_145791/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLong_71
#     OBSERVER=katerickels_69750
#     DATE_OBS=2026-02-19T10:40:28.000
#        OBSID=145791
#      SCANNUM=96193
#          MJD=61090.4447685
#          UTC=38428
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=40.00
#     EXPOSURE=31.41
#        FOCUS=37.071
#       RA,DEC=20:10:15.28, 33:16:55.74
#      RA(deg)=302.51641
#     DEC(deg)=33.28232
#   WIDTH(deg)=0.0777x0.0032
#    AZIM(deg)=70.2399
#    ELEV(deg)=32.0788
#     COORDREF=LNG_LAT
#         HREF=71.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=5.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.77, 0.44] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=53 
#      BOXTEMP=6 
#         TSYS=XX1:49.74, YY1:76.12
#         TSYS=XX2:42.35, YY2:80.83
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      23.9028      34.9102    1413.29430      20.2935      47.1018
   1428.90404      23.9281      35.1170    1413.27904      20.3412      47.2640
   1428.88878      24.1347      35.1782    1413.26378      20.4109      47.4102
   1428.87353      24.2145      35.3694    1413.24853      20.4007      47.6321
   1428.85827      24.4077      35.5723    1413.23327      20.4363      47.9523
   1428.84301      24.4768      35.6001    1413.21801      20.5551      47.9926
   1428.82775      24.6382      35.7713    1413.20275      20.6342      48.2430
   1428.81249      24.7574      35.9275    1413.18749      20.6484      48.6692
   1428.79723      25.0017      36.0635    1413.17223      20.7317      48.6865
   1428.78197      25.1027      36.2207    1413.15697      20.7948      48.9877
   1428.76671      25.2018      36.2901    1413.14171      20.9050      49.2401
   1428.75146      25.4171      36.6307    1413.12646      20.9392      49.5363
   1428.73620      25.5118      36.7686    1413.11120      21.0112      49.8028
   1428.72094      25.7250      36.9700    1413.09594      21.1533      49.9601
   1428.70568      25.8579      37.0088    1413.08068      21.2107      50.2865
   1428.69042      26.0561      37.1486    1413.06542      21.2515      50.4507
   1428.67516      26.1402      37.4655    1413.05016      21.4090      50.7726
   1428.65990      26.3273      37.6297    1413.03490      21.4485      51.0685
   1428.64464      26.5395      37.8499    1413.01964      21.5830      51.5328
   1428.62938      26.7087      37.9035    1413.00438      21.6396      51.5694
   1428.61413      26.7972      38.2320    1412.98913      21.7466      51.9374
   1428.59887      26.9914      38.3472    1412.97387      21.7425      52.0847
   1428.58361      27.1425      38.6076    1412.95861      21.9027      52.5317
   1428.56835      27.3103      38.7664    1412.94335      21.9652      52.8705
   1428.55309      27.5739      38.9769    1412.92809      22.0679      53.1364
   1428.53783      27.7344      39.2233    1412.91283      22.2042      53.3077
   1428.52257      27.8480      39.3238    1412.89757      22.3275      53.8944
   1428.50731      28.0072      39.6138    1412.88231      22.4055      54.0540
   1428.49206      28.1387      39.6677    1412.86706      22.4253      54.4145
   1428.47680      28.3662      39.9025    1412.85180      22.5725      54.6516
   1428.46154      28.6068      40.1774    1412.83654      22.7205      55.0750
   1428.44628      28.6782      40.2537    1412.82128      22.7739      55.3509
   1428.43102      28.9309      40.5093    1412.80602      22.8636      55.6108
   1428.41576      29.0231      40.8382    1412.79076      23.0506      55.8789
   1428.40050      29.2647      41.1128    1412.77550      23.1593      56.2738
   1428.38524      29.3591      41.2298    1412.76024      23.2946      56.4995
